algoritmo,metodo,funcao,n,n_runs_kept,mean_f,std_f
PSO,clamp,Rastrigin,5,10,0.186523,0.259871
PSO,clamp,Rastrigin,10,10,0.138888,0.254625
PSO,clamp,Rastrigin,25,10,0.019241,0.016363
PSO,clamp,Rastrigin,50,10,0.005355,0.007478
PSO,clamp,Rosenbrock,5,10,0.031632,0.037486
PSO,clamp,Rosenbrock,10,10,0.010575,0.010708
PSO,clamp,Rosenbrock,25,10,0.000888,0.000830
PSO,clamp,Rosenbrock,50,10,0.000904,0.000889
PSO,inertia,Rastrigin,5,10,0.397985,0.513796
PSO,inertia,Rastrigin,10,10,0.000000,0.000000
PSO,inertia,Rastrigin,25,10,0.000000,0.000000
PSO,inertia,Rastrigin,50,10,0.000000,0.000000
PSO,inertia,Rosenbrock,5,10,0.008277,0.012883
PSO,inertia,Rosenbrock,10,10,0.000192,0.000512
PSO,inertia,Rosenbrock,25,10,0.000001,0.000002
PSO,inertia,Rosenbrock,50,10,0.000000,0.000000
PP,clamp,Rastrigin,5,10,0.250112,0.216365
PP,clamp,Rastrigin,10,10,0.137353,0.115246
PP,clamp,Rastrigin,25,10,0.035749,0.029149
PP,clamp,Rastrigin,50,10,0.018614,0.016107
PP,clamp,Rosenbrock,5,10,0.028554,0.037604
PP,clamp,Rosenbrock,10,10,0.009694,0.009767
PP,clamp,Rosenbrock,25,10,0.003236,0.002594
PP,clamp,Rosenbrock,50,10,0.001948,0.001588
PP,inertia,Rastrigin,5,10,0.081623,0.069619
PP,inertia,Rastrigin,10,10,0.045550,0.037977
PP,inertia,Rastrigin,25,10,0.013687,0.011947
PP,inertia,Rastrigin,50,10,0.008804,0.007687
PP,inertia,Rosenbrock,5,10,0.093690,0.233778
PP,inertia,Rosenbrock,10,10,0.004713,0.004011
PP,inertia,Rosenbrock,25,10,0.001671,0.001211
PP,inertia,Rosenbrock,50,10,0.000473,0.000519
CP,clamp,Rastrigin,5,10,0.801287,0.610301
CP,clamp,Rastrigin,10,10,0.568516,0.508519
CP,clamp,Rastrigin,25,10,0.410276,0.398716
CP,clamp,Rastrigin,50,10,0.355356,0.254433
CP,clamp,Rosenbrock,5,10,0.068510,0.063218
CP,clamp,Rosenbrock,10,10,0.077082,0.086212
CP,clamp,Rosenbrock,25,10,0.110983,0.093078
CP,clamp,Rosenbrock,50,10,0.115655,0.106073
CP,inertia,Rastrigin,5,10,1.169754,0.770811
CP,inertia,Rastrigin,10,10,0.840731,0.398529
CP,inertia,Rastrigin,25,10,0.358647,0.363032
CP,inertia,Rastrigin,50,10,0.350472,0.314104
CP,inertia,Rosenbrock,5,10,0.145670,0.157406
CP,inertia,Rosenbrock,10,10,0.065657,0.045997
CP,inertia,Rosenbrock,25,10,0.069567,0.076989
CP,inertia,Rosenbrock,50,10,0.045701,0.042972
