algoritmo,metodo,funcao,seed,n,t_max,w_max,w_min,c1,c2,v_max,alpha,A,lambda,Q,d_nuc,d_rep,f_final,x_final,y_final
PSO,clamp,Rastrigin,1,5,200,,,2.000000,2.000000,2.000000,,,,,,,0.031049,-0.005821,-0.011076
PSO,clamp,Rastrigin,2,5,200,,,2.000000,2.000000,2.000000,,,,,,,0.780237,-0.063010,0.003727
PSO,clamp,Rastrigin,3,5,200,,,2.000000,2.000000,2.000000,,,,,,,0.003971,-0.002253,0.003865
PSO,clamp,Rastrigin,4,5,200,,,2.000000,2.000000,2.000000,,,,,,,0.426887,-0.046544,-0.000843
PSO,clamp,Rastrigin,5,5,200,,,2.000000,2.000000,2.000000,,,,,,,0.358676,-0.042575,-0.002460
PSO,clamp,Rastrigin,6,5,200,,,2.000000,2.000000,2.000000,,,,,,,0.042577,0.006363,0.013199
PSO,clamp,Rastrigin,7,5,200,,,2.000000,2.000000,2.000000,,,,,,,0.041170,0.006160,0.013026
PSO,clamp,Rastrigin,8,5,200,,,2.000000,2.000000,2.000000,,,,,,,0.002477,0.001327,-0.003275
PSO,clamp,Rastrigin,9,5,200,,,2.000000,2.000000,2.000000,,,,,,,0.177647,-0.027925,-0.010847
PSO,clamp,Rastrigin,10,5,200,,,2.000000,2.000000,2.000000,,,,,,,0.000538,-0.001095,0.001229
PSO,clamp,Rastrigin,1,10,200,,,2.000000,2.000000,2.000000,,,,,,,0.095262,-0.003145,-0.021703
PSO,clamp,Rastrigin,2,10,200,,,2.000000,2.000000,2.000000,,,,,,,0.007347,0.003212,-0.005169
PSO,clamp,Rastrigin,3,10,200,,,2.000000,2.000000,2.000000,,,,,,,0.808925,0.062654,-0.014219
PSO,clamp,Rastrigin,4,10,200,,,2.000000,2.000000,2.000000,,,,,,,0.323620,0.003934,-0.040303
PSO,clamp,Rastrigin,5,10,200,,,2.000000,2.000000,2.000000,,,,,,,0.016388,-0.005154,-0.007487
PSO,clamp,Rastrigin,6,10,200,,,2.000000,2.000000,2.000000,,,,,,,0.056041,0.002691,0.016598
PSO,clamp,Rastrigin,7,10,200,,,2.000000,2.000000,2.000000,,,,,,,0.068320,-0.016766,-0.007972
PSO,clamp,Rastrigin,8,10,200,,,2.000000,2.000000,2.000000,,,,,,,0.010162,0.006004,-0.003896
PSO,clamp,Rastrigin,9,10,200,,,2.000000,2.000000,2.000000,,,,,,,0.002077,0.002252,-0.002323
PSO,clamp,Rastrigin,10,10,200,,,2.000000,2.000000,2.000000,,,,,,,0.000744,0.001135,-0.001569
PSO,clamp,Rastrigin,1,25,200,,,2.000000,2.000000,2.000000,,,,,,,0.003151,0.000690,0.003925
PSO,clamp,Rastrigin,2,25,200,,,2.000000,2.000000,2.000000,,,,,,,0.033043,-0.004200,0.012206
PSO,clamp,Rastrigin,3,25,200,,,2.000000,2.000000,2.000000,,,,,,,0.014388,0.008505,-0.000445
PSO,clamp,Rastrigin,4,25,200,,,2.000000,2.000000,2.000000,,,,,,,0.001396,0.000715,-0.002555
PSO,clamp,Rastrigin,5,25,200,,,2.000000,2.000000,2.000000,,,,,,,0.026307,-0.000803,0.011490
PSO,clamp,Rastrigin,6,25,200,,,2.000000,2.000000,2.000000,,,,,,,0.007235,0.005431,0.002640
PSO,clamp,Rastrigin,7,25,200,,,2.000000,2.000000,2.000000,,,,,,,0.023530,0.009032,0.006088
PSO,clamp,Rastrigin,8,25,200,,,2.000000,2.000000,2.000000,,,,,,,0.011818,0.000911,0.007665
PSO,clamp,Rastrigin,9,25,200,,,2.000000,2.000000,2.000000,,,,,,,0.055825,-0.016780,-0.000251
PSO,clamp,Rastrigin,10,25,200,,,2.000000,2.000000,2.000000,,,,,,,0.015716,-0.003769,0.008064
PSO,clamp,Rastrigin,1,50,200,,,2.000000,2.000000,2.000000,,,,,,,0.000114,0.000704,-0.000285
PSO,clamp,Rastrigin,2,50,200,,,2.000000,2.000000,2.000000,,,,,,,0.001647,-0.002522,-0.001393
PSO,clamp,Rastrigin,3,50,200,,,2.000000,2.000000,2.000000,,,,,,,0.000224,-0.000906,0.000553
PSO,clamp,Rastrigin,4,50,200,,,2.000000,2.000000,2.000000,,,,,,,0.003228,-0.002782,0.002920
PSO,clamp,Rastrigin,5,50,200,,,2.000000,2.000000,2.000000,,,,,,,0.009843,-0.002832,-0.006450
PSO,clamp,Rastrigin,6,50,200,,,2.000000,2.000000,2.000000,,,,,,,0.004636,0.001138,-0.004698
PSO,clamp,Rastrigin,7,50,200,,,2.000000,2.000000,2.000000,,,,,,,0.004671,0.002105,-0.004372
PSO,clamp,Rastrigin,8,50,200,,,2.000000,2.000000,2.000000,,,,,,,0.025040,0.004075,-0.010471
PSO,clamp,Rastrigin,9,50,200,,,2.000000,2.000000,2.000000,,,,,,,0.002781,-0.003200,-0.001943
PSO,clamp,Rastrigin,10,50,200,,,2.000000,2.000000,2.000000,,,,,,,0.001366,0.001301,-0.002278
PSO,clamp,Rosenbrock,1,5,200,,,2.000000,2.000000,2.000000,,,,,,,0.007279,1.048844,1.107069
PSO,clamp,Rosenbrock,2,5,200,,,2.000000,2.000000,2.000000,,,,,,,0.009686,1.088703,1.181010
