algoritmo,metodo,funcao,seed,n,t_max,w_max,w_min,c1,c2,v_max,alpha,A,lambda,Q,d_nuc,d_rep,f_final,x_final,y_final
PSO,clamp,Rastrigin,1,30,200,,,2.000000,2.000000,2.000000,,,,,,,0.003373,0.003837,0.001509
PSO,clamp,Rastrigin,2,30,200,,,2.000000,2.000000,2.000000,,,,,,,0.004190,0.001799,0.004229
PSO,clamp,Rastrigin,3,30,200,,,2.000000,2.000000,2.000000,,,,,,,0.010872,0.000092,-0.007403
PSO,clamp,Rastrigin,1,30,200,,,2.000000,2.000000,5.000000,,,,,,,0.016058,0.007654,-0.004729
PSO,clamp,Rastrigin,2,30,200,,,2.000000,2.000000,5.000000,,,,,,,0.007972,0.003645,-0.005187
PSO,clamp,Rastrigin,3,30,200,,,2.000000,2.000000,5.000000,,,,,,,0.135499,0.024539,0.009056
PSO,clamp,Rastrigin,1,30,200,,,2.000000,2.000000,10.000000,,,,,,,1.096326,-1.015015,0.010436
PSO,clamp,Rastrigin,2,30,200,,,2.000000,2.000000,10.000000,,,,,,,1.175665,-0.971344,-0.018862
PSO,clamp,Rastrigin,3,30,200,,,2.000000,2.000000,10.000000,,,,,,,0.140057,0.026584,-0.000928
PP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,1.000000,0.500000,,,,0.010768,-0.001528,-0.007208
PP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,1.000000,0.500000,,,,0.013526,0.006791,-0.004698
PP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,1.000000,0.500000,,,,0.009394,-0.005392,-0.004276
PP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,1.000000,1.000000,,,,0.007861,0.006046,0.001753
PP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,1.000000,1.000000,,,,0.000843,0.001314,-0.001588
PP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,1.000000,1.000000,,,,0.014319,-0.005411,0.006551
PP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,1.000000,2.000000,,,,0.004078,-0.004526,-0.000274
PP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,1.000000,2.000000,,,,0.025888,-0.011253,0.001977
PP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,1.000000,2.000000,,,,0.001980,0.001863,0.002551
PP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,3.000000,0.500000,,,,0.009589,0.006852,-0.001180
PP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,3.000000,0.500000,,,,0.164027,-0.028632,-0.003034
PP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,3.000000,0.500000,,,,0.085882,0.013216,-0.016079
PP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,3.000000,1.000000,,,,0.114315,0.015508,0.018338
PP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,3.000000,1.000000,,,,0.004324,0.004465,0.001365
PP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,3.000000,1.000000,,,,0.023701,0.007344,0.008096
PP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.100000,3.000000,2.000000,,,,0.059781,-0.011629,-0.012894
